SGIS_CD,DONG_NM,SGG_NM,H_DNG_CD
11010530,사직동,종로구,11110530
11010540,삼청동,종로구,11110540
11010550,부암동,종로구,11110550
11010560,평창동,종로구,11110560
11010570,무악동,종로구,11110570
11010580,교남동,종로구,11110580
11010600,가회동,종로구,11110600
11010610,종로1·2·3·4가동,종로구,11110615
11010630,종로5·6가동,종로구,11110630
11010640,이화동,종로구,11110640
11010670,창신1동,종로구,11110670
11010680,창신2동,종로구,11110680
11010690,창신3동,종로구,11110690
11010700,숭인1동,종로구,11110700
11010710,숭인2동,종로구,11110710
11010720,청운효자동,종로구,11110515
11010730,혜화동,종로구,11110650
11020520,소공동,중구,11140520
11020540,회현동,중구,11140540
11020550,명동,중구,11140550
11020570,필동,중구,11140570
11020580,장충동,중구,11140580
11020590,광희동,중구,11140590
11020600,을지로동,중구,11140605
11020650,신당5동,중구,11140650
11020670,황학동,중구,11140670
11020680,중림동,중구,11140680
11020690,신당동,중구,11140615
11020700,다산동,중구,11140625
11020710,약수동,중구,11140635
11020720,청구동,중구,11140645
11020730,동화동,중구,11140665
11030510,후암동,용산구,11170510
11030520,용산2가동,용산구,11170520
11030530,남영동,용산구,11170530
11030570,원효로2동,용산구,11170570
11030580,효창동,용산구,11170580
11030590,용문동,용산구,11170590
11030630,이촌1동,용산구,11170630
11030640,이촌2동,용산구,11170640
11030650,이태원1동,용산구,11170650
11030660,이태원2동,용산구,11170660
11030690,서빙고동,용산구,11170690
11030700,보광동,용산구,11170700
11030710,청파동,용산구,11170555
11030720,원효로1동,용산구,11170560
11030730,한강로동,용산구,11170625
11030740,한남동,용산구,11170685
11040520,왕십리2동,성동구,11200520
11040540,마장동,성동구,11200540
11040550,사근동,성동구,11200550
11040560,행당1동,성동구,11200560
11040570,행당2동,성동구,11200570
11040580,응봉동,성동구,11200580
11040590,금호1가동,성동구,11200590
11040620,금호4가동,성동구,11200620
11040650,성수1가1동,성동구,11200650
11040660,성수1가2동,성동구,11200660
11040670,성수2가1동,성동구,11200670
11040680,성수2가3동,성동구,11200690
11040690,송정동,성동구,11200720
11040700,용답동,성동구,11200790
11040710,왕십리도선동,성동구,11200535
11040720,금호2·3가동,성동구,11200615
11040730,옥수동,성동구,11200645
11050530,화양동,광진구,11215710
11050540,군자동,광진구,11215730
11050550,중곡1동,광진구,11215740
11050560,중곡2동,광진구,11215750
11050570,중곡3동,광진구,11215760
11050580,중곡4동,광진구,11215770
11050590,능동,광진구,11215780
11050600,구의1동,광진구,11215850
11050610,구의2동,광진구,11215860
11050620,구의3동,광진구,11215870
11050630,광장동,광진구,11215810
11050640,자양1동,광진구,11215820
11050650,자양2동,광진구,11215830
11050660,자양3동,광진구,11215840
11050670,자양4동,광진구,11215847
11060710,회기동,동대문구,11230710
11060720,휘경1동,동대문구,11230720
11060730,휘경2동,동대문구,11230730
11060800,청량리동,동대문구,11230705
11060810,용신동,동대문구,11230536
11060820,제기동,동대문구,11230545
11060830,전농1동,동대문구,11230560
11060840,전농2동,동대문구,11230570
11060860,답십리2동,동대문구,11230610
11060870,장안1동,동대문구,11230650
11060880,장안2동,동대문구,11230660
11060890,이문1동,동대문구,11230740
11060900,이문2동,동대문구,11230750
11060910,답십리1동,동대문구,11230600
11070520,면목2동,중랑구,11260520
11070540,면목4동,중랑구,11260540
11070550,면목5동,중랑구,11260550
11070570,면목7동,중랑구,11260570
11070590,상봉1동,중랑구,11260580
11070600,상봉2동,중랑구,11260590
11070610,중화1동,중랑구,11260600
11070620,중화2동,중랑구,11260610
11070640,묵1동,중랑구,11260620
11070650,묵2동,중랑구,11260630
11070680,망우3동,중랑구,11260660
11070690,신내1동,중랑구,11260680
11070700,신내2동,중랑구,11260690
11070710,면목본동,중랑구,11260565
11070720,면목3·8동,중랑구,11260575
11070730,망우본동,중랑구,11260655
11080580,돈암1동,성북구,11290580
11080590,돈암2동,성북구,11290590
11080600,안암동,성북구,11290600
11080610,보문동,성북구,11290610
11080620,정릉1동,성북구,11290620
11080630,정릉2동,성북구,11290630
11080640,정릉3동,성북구,11290640
11080650,정릉4동,성북구,11290650
11080660,길음1동,성북구,11290660
11080680,길음2동,성북구,11290685
11080710,월곡1동,성북구,11290715
11080720,월곡2동,성북구,11290725
11080760,장위1동,성북구,11290760
11080770,장위2동,성북구,11290770
11080780,장위3동,성북구,11290780
11080810,성북동,성북구,11290525
11080820,삼선동,성북구,11290555
11080830,동선동,성북구,11290575
11080840,종암동,성북구,11290705
11080850,석관동,성북구,11290810
11090600,번1동,강북구,11305595
11090610,번2동,강북구,11305603
11090620,번3동,강북구,11305608
11090630,수유1동,강북구,11305615
11090640,수유2동,강북구,11305625
11090650,수유3동,강북구,11305635
11090690,삼양동,강북구,11305534
11090700,미아동,강북구,11305535
11090710,송중동,강북구,11305545
11090720,송천동,강북구,11305555
11090730,삼각산동,강북구,11305575
11090740,우이동,강북구,11305645
11090750,인수동,강북구,11305660
11100510,쌍문1동,도봉구,11320660
11100520,쌍문2동,도봉구,11320670
11100530,쌍문3동,도봉구,11320680
11100540,쌍문4동,도봉구,11320681
11100550,방학1동,도봉구,11320690
11100560,방학2동,도봉구,11320700
11100570,방학3동,도봉구,11320710
11100590,창1동,도봉구,11320511
11100600,창2동,도봉구,11320512
11100610,창3동,도봉구,11320513
11100620,창4동,도봉구,11320514
11100630,창5동,도봉구,11320515
11100640,도봉1동,도봉구,11320521
11100650,도봉2동,도봉구,11320522
11110510,월계1동,노원구,11350560
11110520,월계2동,노원구,11350570
11110530,월계3동,노원구,11350580
11110560,공릉2동,노원구,11350600
11110580,하계1동,노원구,11350611
11110590,하계2동,노원구,11350612
11110600,중계본동,노원구,11350619
11110610,중계1동,노원구,11350621
11110640,중계4동,노원구,11350624
11110650,상계1동,노원구,11350630
11110660,상계2동,노원구,11350640
11110690,상계5동,노원구,11350670
11110720,상계8동,노원구,11350700
11110730,상계9동,노원구,11350710
11110740,상계10동,노원구,11350720
11110760,상계3·4동,노원구,11350665
11110770,상계6·7동,노원구,11350695
11110780,중계2·3동,노원구,11350625
11110790,공릉1동,노원구,11350595
11120510,녹번동,은평구,11380510
11120520,불광1동,은평구,11380520
11120550,갈현1동,은평구,11380551
11120560,갈현2동,은평구,11380552
11120570,구산동,은평구,11380560
11120580,대조동,은평구,11380570
11120590,응암1동,은평구,11380580
11120600,응암2동,은평구,11380590
11120650,신사1동,은평구,11380631
11120660,신사2동,은평구,11380632
11120670,증산동,은평구,11380640
11120680,수색동,은평구,11380650
11120710,진관동,은평구,11380690
11120720,불광2동,은평구,11380530
11120730,응암3동,은평구,11380600
11120740,역촌동,은평구,11380625
11130520,천연동,서대문구,11410520
11130620,홍제1동,서대문구,11410620
11130640,홍제3동,서대문구,11410640
11130650,홍제2동,서대문구,11410655
11130660,홍은1동,서대문구,11410660
11130680,홍은2동,서대문구,11410685
11130690,남가좌1동,서대문구,11410690
11130700,남가좌2동,서대문구,11410700
11130710,북가좌1동,서대문구,11410710
11130720,북가좌2동,서대문구,11410720
11130730,충현동,서대문구,11410565
11130740,북아현동,서대문구,11410555
11130750,신촌동,서대문구,11410585
11130760,연희동,서대문구,11410615
11140590,용강동,마포구,11440590
11140600,대흥동,마포구,11440600
11140610,염리동,마포구,11440610
11140630,신수동,마포구,11440630
11140660,서교동,마포구,11440660
11140680,합정동,마포구,11440680
11140690,망원1동,마포구,11440690
11140700,망원2동,마포구,11440700
11140710,연남동,마포구,11440710
11140720,성산1동,마포구,11440720
11140730,성산2동,마포구,11440730
11140740,상암동,마포구,11440740
11140750,도화동,마포구,11440585
11140760,서강동,마포구,11440655
11140770,공덕동,마포구,11440565
11140780,아현동,마포구,11440555
11150510,목1동,양천구,11470510
11150520,목2동,양천구,11470520
11150530,목3동,양천구,11470530
11150540,목4동,양천구,11470540
11150570,신월1동,양천구,11470560
11150580,신월2동,양천구,11470570
11150590,신월3동,양천구,11470580
11150600,신월4동,양천구,11470590
11150610,신월5동,양천구,11470600
11150620,신월6동,양천구,11470610
11150630,신월7동,양천구,11470611
11150640,신정1동,양천구,11470620
11150650,신정2동,양천구,11470630
11150660,신정3동,양천구,11470640
11150690,신정6동,양천구,11470670
11150700,신정7동,양천구,11470680
11150710,목5동,양천구,11470550
11150720,신정4동,양천구,11470650
11160510,염창동,강서구,11500510
11160520,등촌1동,강서구,11500520
11160530,등촌2동,강서구,11500530
11160540,등촌3동,강서구,11500535
11160550,화곡본동,강서구,11500590
11160570,화곡2동,강서구,11500550
11160580,화곡3동,강서구,11500560
11160590,화곡4동,강서구,11500570
11160610,화곡6동,강서구,11500591
11160630,화곡8동,강서구,11500593
11160650,가양2동,강서구,11500604
11160660,가양3동,강서구,11500605
11160670,발산1동,강서구,11500611
11160690,공항동,강서구,11500620
11160700,방화1동,강서구,11500630
11160710,방화2동,강서구,11500640
11160730,화곡1동,강서구,11500540
11160740,우장산동,강서구,11500615
11160751,가양1동,강서구,11500603
11160761,방화3동,강서구,11500641
11170510,신도림동,구로구,11530510
11170520,구로1동,구로구,11530520
11170540,구로3동,구로구,11530540
11170550,구로4동,구로구,11530550
11170560,구로5동,구로구,11530560
11170610,고척1동,구로구,11530720
11170620,고척2동,구로구,11530730
11170640,개봉2동,구로구,11530750
11170650,개봉3동,구로구,11530760
11170670,오류1동,구로구,11530770
11170690,수궁동,구로구,11530790
