CGG_NM,STDG_NM,BLDG_USG,평균전세가_만원,거래건수
강남구,개포동,단독다가구,21510.6,42
강남구,개포동,아파트,92313.8,912
강남구,개포동,연립다세대,33569.3,293
강남구,개포동,오피스텔,25286.1,37
강남구,논현동,단독다가구,21874.9,108
강남구,논현동,아파트,75488.1,235
강남구,논현동,연립다세대,30402.5,338
강남구,논현동,오피스텔,38953.8,26
강남구,대치동,단독다가구,25638.2,74
강남구,대치동,아파트,115993.5,932
강남구,대치동,연립다세대,37031.5,216
강남구,대치동,오피스텔,26728.3,63
강남구,도곡동,단독다가구,24312.2,27
강남구,도곡동,아파트,124721.0,588
강남구,도곡동,연립다세대,33806.5,45
강남구,도곡동,오피스텔,86291.7,26
강남구,삼성동,단독다가구,23125.6,16
강남구,삼성동,아파트,110707.1,443
강남구,삼성동,연립다세대,36391.5,147
강남구,삼성동,오피스텔,31175.6,68
강남구,세곡동,단독다가구,41119.0,21
강남구,세곡동,아파트,58658.3,237
강남구,세곡동,연립다세대,114279.2,12
강남구,세곡동,오피스텔,31812.9,58
강남구,수서동,단독다가구,47750.0,2
강남구,수서동,아파트,59557.3,423
강남구,수서동,오피스텔,24236.1,18
강남구,신사동,단독다가구,20797.2,35
강남구,신사동,아파트,81617.9,45
강남구,신사동,연립다세대,32062.6,52
강남구,신사동,오피스텔,23500.0,1
강남구,압구정동,아파트,113017.7,427
강남구,역삼동,단독다가구,22677.7,145
강남구,역삼동,아파트,93686.1,573
강남구,역삼동,연립다세대,29091.7,471
강남구,역삼동,오피스텔,25266.7,225
강남구,율현동,단독다가구,34592.8,36
강남구,율현동,아파트,56503.6,37
강남구,일원동,단독다가구,28062.2,60
강남구,일원동,아파트,94254.7,401
강남구,일원동,연립다세대,31771.5,200
강남구,자곡동,단독다가구,48333.3,3
강남구,자곡동,아파트,51678.1,488
강남구,자곡동,연립다세대,84125.0,4
강남구,자곡동,오피스텔,29581.2,93
강남구,청담동,단독다가구,32233.3,21
강남구,청담동,아파트,119106.1,316
강남구,청담동,연립다세대,49915.1,74
강남구,청담동,오피스텔,20100.2,8
강동구,강일동,단독다가구,40846.2,13
강동구,강일동,아파트,48992.7,551
강동구,강일동,오피스텔,14881.4,35
강동구,고덕동,단독다가구,17639.6,82
강동구,고덕동,아파트,74409.1,652
강동구,고덕동,연립다세대,24967.2,198
강동구,고덕동,오피스텔,29322.2,18
강동구,길동,단독다가구,16669.4,72
강동구,길동,아파트,49430.0,396
강동구,길동,연립다세대,24631.8,168
강동구,길동,오피스텔,26375.7,64
강동구,둔촌동,단독다가구,17436.9,42
강동구,둔촌동,아파트,72667.4,319
강동구,둔촌동,연립다세대,27102.9,149
강동구,둔촌동,오피스텔,27966.7,6
강동구,명일동,단독다가구,19541.9,31
강동구,명일동,아파트,55903.5,541
강동구,명일동,연립다세대,26291.6,128
강동구,명일동,오피스텔,24327.9,68
강동구,상일동,단독다가구,16940.0,35
강동구,상일동,아파트,70276.2,809
강동구,상일동,연립다세대,36250.8,60
강동구,성내동,단독다가구,16863.1,207
강동구,성내동,아파트,58206.5,299
강동구,성내동,연립다세대,23943.5,326
강동구,성내동,오피스텔,22277.8,54
강동구,암사동,단독다가구,17779.9,80
강동구,암사동,아파트,58834.2,557
강동구,암사동,연립다세대,24838.0,285
강동구,암사동,오피스텔,19942.1,19
강동구,천호동,단독다가구,13988.8,264
강동구,천호동,아파트,60025.7,336
강동구,천호동,연립다세대,24124.5,535
강동구,천호동,오피스텔,22930.0,159
강북구,미아동,단독다가구,11555.7,281
강북구,미아동,아파트,50394.2,557
강북구,미아동,연립다세대,16499.0,318
강북구,미아동,오피스텔,17845.5,11
강북구,번동,단독다가구,10836.0,89
강북구,번동,아파트,28788.9,195
강북구,번동,연립다세대,11581.5,127
강북구,번동,오피스텔,23250.0,14
강북구,수유동,단독다가구,11534.8,207
강북구,수유동,아파트,33027.2,105
강북구,수유동,연립다세대,16240.5,268
강북구,수유동,오피스텔,19152.5,40
강북구,우이동,단독다가구,11070.8,18
강북구,우이동,아파트,36868.3,14
강북구,우이동,연립다세대,18446.8,28
강서구,가양동,단독다가구,12000.0,1
강서구,가양동,아파트,40599.7,758
강서구,가양동,연립다세대,21408.8,24
강서구,가양동,오피스텔,21259.1,90
강서구,개화동,단독다가구,12500.0,11
강서구,공항동,단독다가구,11464.5,50
강서구,공항동,아파트,45119.4,22
강서구,공항동,연립다세대,19476.2,159
강서구,공항동,오피스텔,19504.1,16
강서구,내발산동,단독다가구,15738.4,25
강서구,내발산동,아파트,52645.1,439
강서구,내발산동,연립다세대,27185.2,89
강서구,내발산동,오피스텔,42165.0,6
강서구,등촌동,단독다가구,16367.7,44
강서구,등촌동,아파트,46034.2,618
강서구,등촌동,연립다세대,22656.0,217
강서구,등촌동,오피스텔,24623.4,417
강서구,마곡동,단독다가구,43833.3,3
강서구,마곡동,아파트,45551.1,1357
강서구,마곡동,연립다세대,21253.7,63
강서구,마곡동,오피스텔,22949.8,459
강서구,방화동,단독다가구,13479.6,50
강서구,방화동,아파트,37155.5,564
강서구,방화동,연립다세대,18606.3,145
강서구,방화동,오피스텔,23130.0,120
강서구,염창동,단독다가구,24400.0,5
강서구,염창동,아파트,55545.6,484
강서구,염창동,연립다세대,26238.9,27
강서구,염창동,오피스텔,26706.8,123
강서구,외발산동,연립다세대,15762.9,7
강서구,화곡동,단독다가구,11590.6,233
강서구,화곡동,아파트,51210.0,622
강서구,화곡동,연립다세대,16951.6,1219
강서구,화곡동,오피스텔,18513.2,510
관악구,남현동,단독다가구,16725.7,48
관악구,남현동,아파트,54108.1,34
관악구,남현동,연립다세대,24361.7,65
관악구,남현동,오피스텔,15678.9,19
관악구,봉천동,단독다가구,14530.1,535
관악구,봉천동,아파트,54405.2,1049
관악구,봉천동,연립다세대,22507.6,395
관악구,봉천동,오피스텔,20347.1,188
관악구,신림동,단독다가구,12976.7,657
관악구,신림동,아파트,42917.1,577
관악구,신림동,연립다세대,18911.4,497
관악구,신림동,오피스텔,18857.1,91
광진구,광장동,단독다가구,19308.8,29
광진구,광장동,아파트,79544.9,386
광진구,광장동,연립다세대,45706.9,48
광진구,광장동,오피스텔,33710.0,5
광진구,구의동,단독다가구,17854.5,225
광진구,구의동,아파트,82256.1,352
광진구,구의동,연립다세대,26468.6,413
광진구,구의동,오피스텔,22979.2,42
광진구,군자동,단독다가구,15388.5,92
광진구,군자동,아파트,52661.8,17
광진구,군자동,연립다세대,24963.2,114
광진구,군자동,오피스텔,21873.3,12
광진구,능동,단독다가구,17471.5,97
광진구,능동,아파트,29313.3,3
광진구,능동,연립다세대,26450.4,105
광진구,능동,오피스텔,18650.0,4
광진구,자양동,단독다가구,17225.1,289
광진구,자양동,아파트,75116.3,573
광진구,자양동,연립다세대,27408.3,896
광진구,자양동,오피스텔,37261.2,64
광진구,중곡동,단독다가구,17229.3,384
광진구,중곡동,아파트,33392.2,27
광진구,중곡동,연립다세대,24586.2,528
광진구,중곡동,오피스텔,17788.0,30
광진구,화양동,단독다가구,14569.7,105
광진구,화양동,아파트,32763.3,30
광진구,화양동,연립다세대,21573.0,66
광진구,화양동,오피스텔,21025.0,73
구로구,가리봉동,단독다가구,8645.1,51
구로구,가리봉동,아파트,34600.0,5
구로구,가리봉동,연립다세대,18363.3,63
구로구,가리봉동,오피스텔,23020.0,21
구로구,개봉동,단독다가구,11227.3,103
구로구,개봉동,아파트,43752.7,409
구로구,개봉동,연립다세대,16679.0,273
구로구,개봉동,오피스텔,22148.9,9
구로구,고척동,단독다가구,11015.7,95
구로구,고척동,아파트,35119.4,310
구로구,고척동,연립다세대,16134.6,57
구로구,고척동,오피스텔,14197.6,17
구로구,구로동,단독다가구,10336.3,224
구로구,구로동,아파트,37901.6,966
구로구,구로동,연립다세대,17794.1,176
구로구,구로동,오피스텔,21932.2,296
구로구,궁동,단독다가구,7863.6,11
구로구,궁동,아파트,31056.7,7
구로구,궁동,연립다세대,16437.1,70
