H_DNG_CD,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70,SIDO_NM,SGG_NM,ADMI_NM
11110515,90.34,863.37,1066.32,1368.27,1262.6,1353.9,1023.85,898.73,104.03,929.14,1484.3,1559.15,1522.7,1581.21,1277.11,1308.19,서울특별시,종로구,청운효자동
11110530,41.1,439.19,1872.61,3457.59,3366.48,3169.5,1751.69,1110.1,61.79,570.75,3059.71,3738.65,3155.63,2545.33,1751.03,1375.48,서울특별시,종로구,사직동
11110540,12.3,317.85,411.38,429.51,432.27,460.57,346.58,287.5,24.92,139.95,445.39,468.89,422.49,458.21,408.54,344.31,서울특별시,종로구,삼청동
11110550,79.1,557.41,826.34,696.03,742.55,926.43,846.42,753.96,54.2,604.51,861.99,778.8,932.88,1142.04,986.32,1015.08,서울특별시,종로구,부암동
11110560,58.93,709.66,968.74,1018.91,1151.9,1562.07,1587.35,1376.71,64.41,931.77,1024.68,1155.28,1462.31,1930.63,1827.19,1791.55,서울특별시,종로구,평창동
11110570,19.54,169.73,244.36,311.46,260.48,318.75,434.35,368.52,58.55,237.01,249.61,348.78,359.14,441.63,618.22,505.75,서울특별시,종로구,무악동
11110580,41.48,446.83,578.76,854.56,966.31,1058.73,741.99,704.07,86.58,406.61,785.78,1065.93,1117.27,1183.33,938.73,956.48,서울특별시,종로구,교남동
11110600,12.79,192.76,527.5,1096.98,1156.72,875.58,482.81,434.06,23.59,223.71,846.59,822.96,668.53,675.4,503.61,538.53,서울특별시,종로구,가회동
11110615,79.41,618.11,5325.56,8364.37,8170.65,7904.05,5446.96,3916.3,86.53,939.64,7210.13,7194.57,5619.57,5716.16,4074.75,2312.96,서울특별시,종로구,종로1.2.3.4가동
11110630,15.86,191.73,970.47,1503.75,1525.85,1878.63,1871.87,1314.49,26.78,226.04,1272.49,1349.45,1165.36,1557.5,1516.15,1075.39,서울특별시,종로구,종로5.6가동
11110640,50.01,489.73,2149.31,2100.56,1695.22,1986.78,1311.82,978.77,73.16,781.09,3551.33,2684.36,2078.29,2085.73,1449.12,1222.29,서울특별시,종로구,이화동
11110650,56.48,1215.38,3046.14,1663.51,1320.63,1615.18,1164.72,1040.67,106.9,1122.19,3492.34,1642.25,1471.63,1756.31,1265.99,1560.87,서울특별시,종로구,혜화동
11110670,12.6,129.57,396.48,508.38,521.69,795.52,1121.03,774.35,8.98,80.8,397.59,436.47,431.56,781.89,829.76,674.93,서울특별시,종로구,창신1동
11110680,8.51,117.38,309.89,394.86,314.29,694.53,761.33,485.2,26.92,88.55,282.02,291.37,240.79,693.3,691.2,713.89,서울특별시,종로구,창신2동
11110690,21.44,97.04,274.85,366.2,352.51,416.53,524.23,415.16,14.62,116.47,310.32,329.65,296.91,461.2,521.51,455.46,서울특별시,종로구,창신3동
11110700,28.59,159.1,326.47,433.96,442.73,616.42,652.01,504.58,40.82,175.29,380.45,406.47,422.05,661.26,637.61,649.02,서울특별시,종로구,숭인1동
11110710,15.72,158.13,890.14,1081.67,700.07,1084.25,1247.55,934.15,26.82,160.5,1303.42,990.45,635.4,912.99,877.5,796.19,서울특별시,종로구,숭인2동
11140520,21.45,253.26,1971.62,4305.02,4482.38,3864.39,1773.65,794.39,41.57,897.91,3078.03,4074.26,3419.07,2564.74,1619.18,685.89,서울특별시,중구,소공동
11140540,28.81,282.25,1781.07,3642.89,3536.01,3200.25,1942.72,1075.49,28.19,289.9,2591.14,3573.15,2728.8,2817.39,2592.01,1627.72,서울특별시,중구,회현동
11140550,56.26,371.13,2833.18,5910.81,6125.32,4765.61,2158.26,1087.76,66.11,664.62,4734.42,5557.59,4590.75,3291.47,2189.62,1251.11,서울특별시,중구,명동
11140570,18.14,307.16,1477.66,1527.54,1487.89,1748.42,1123.27,615.43,26.22,402.81,1736.69,1378.66,1175.83,1200.42,824.18,648.94,서울특별시,중구,필동
11140580,12.02,245.66,1281.46,1104.78,1039.88,1018.49,700.11,487.13,19.63,286.78,1389.36,1085.77,792.66,764.37,591.53,555.27,서울특별시,중구,장충동
11140590,20.91,334.26,1577.65,2571.81,2207.38,2230.66,1800.65,947.57,32.79,353.75,2296.75,2451.56,1780.35,1788.7,1481.59,953.84,서울특별시,중구,광희동
11140605,11.76,154.2,1271.87,1974.86,1974.96,2191.17,1666.89,908.73,11.38,182.1,1510.05,1632.93,1265.31,1363.52,800.77,416.25,서울특별시,중구,을지로동
11140615,21.79,282.08,913.53,1728.94,1328.05,1458.3,1321.56,805.42,42.3,251.41,1254.63,1467.61,1218.07,1464.01,1315.67,976.74,서울특별시,중구,신당동
11140625,37.14,432.22,847.68,1178.82,1090.13,1225.63,1056.5,997.45,55.47,369.63,1040.46,1232.29,1025.45,1196.83,1255.84,1363.83,서울특별시,중구,다산동
11140635,34.66,309.98,680.54,1211.51,1258.71,1221.9,1300.75,1200.29,54.88,328.83,869.42,1513.43,1125.0,1538.9,1432.33,1686.05,서울특별시,중구,약수동
11140645,31.86,248.91,390.97,583.71,437.47,595.37,487.71,394.43,28.91,204.25,494.91,646.11,471.95,593.91,606.44,555.41,서울특별시,중구,청구동
11140650,40.68,298.5,535.42,934.32,746.23,990.69,932.37,686.4,36.21,235.39,754.87,915.84,672.06,916.38,951.7,950.12,서울특별시,중구,신당5동
11140665,65.88,398.36,675.75,995.31,965.62,1262.61,1247.25,948.59,98.02,404.27,841.05,1145.58,1050.35,1437.91,1353.34,1373.3,서울특별시,중구,동화동
11140670,31.3,167.14,781.09,1585.37,932.94,972.92,867.4,827.7,45.17,198.84,1292.1,1620.42,966.83,833.74,958.28,945.88,서울특별시,중구,황학동
11140680,44.57,339.17,691.48,1177.62,1237.83,1201.97,999.74,722.28,62.58,273.69,938.51,1366.99,1158.79,1169.13,970.64,928.63,서울특별시,중구,중림동
11170510,57.68,455.42,732.64,1175.11,923.53,960.67,886.15,718.39,55.08,360.73,883.99,1136.72,1001.58,1112.09,1043.16,985.52,서울특별시,용산구,후암동
11170520,44.4,432.18,903.57,1125.66,819.89,770.97,694.89,735.66,29.34,359.72,1010.14,1053.82,700.51,804.91,788.06,1036.17,서울특별시,용산구,용산2가동
11170530,35.03,319.17,1594.8,2158.51,1793.6,2074.94,1603.71,1005.82,34.82,355.71,2034.81,2008.97,1361.63,1445.01,1243.79,908.57,서울특별시,용산구,남영동
11170555,60.44,782.97,1679.76,2205.81,1542.97,1904.89,1560.93,1174.85,81.54,834.38,3469.45,2126.71,1459.07,1858.74,1588.33,1691.86,서울특별시,용산구,청파동
11170560,49.67,321.36,1152.1,2285.06,1643.83,1486.18,1088.91,678.19,45.58,299.93,1825.31,2493.19,1411.35,1487.96,1023.76,767.75,서울특별시,용산구,원효로1동
11170570,81.52,414.11,789.9,1359.34,1216.74,1243.89,1102.12,846.79,106.73,557.44,1028.39,1294.15,1001.44,1197.0,1129.44,1167.44,서울특별시,용산구,원효로2동
11170580,44.92,308.54,588.41,894.87,798.89,795.67,601.74,509.3,61.9,340.05,865.4,980.63,815.07,854.59,632.07,694.23,서울특별시,용산구,효창동
11170590,22.03,263.91,617.85,854.71,696.64,839.96,787.66,696.25,33.65,275.93,710.65,876.81,695.2,966.73,951.09,996.0,서울특별시,용산구,용문동
11170625,134.5,1073.08,5078.54,7062.45,5454.7,4469.17,2879.83,1791.92,177.84,1103.09,6429.74,6970.69,4161.28,3954.79,2850.39,1975.1,서울특별시,용산구,한강로동
11170630,169.5,1204.35,1102.42,1393.65,1864.17,2074.97,1653.19,1518.56,166.37,1023.92,1143.46,1810.93,2334.53,2632.46,2017.06,2344.12,서울특별시,용산구,이촌1동
11170640,9.54,126.95,256.43,394.33,441.26,380.08,394.46,350.05,11.88,140.31,384.47,377.16,325.55,394.06,477.68,596.31,서울특별시,용산구,이촌2동
11170650,6.78,158.58,1322.57,1496.73,824.51,737.27,661.0,503.87,23.41,158.33,1242.97,1063.18,640.17,730.28,689.83,620.14,서울특별시,용산구,이태원1동
11170660,38.93,239.19,789.19,1157.0,868.46,740.69,689.71,635.82,20.35,237.52,960.67,1149.72,836.68,782.94,753.1,891.11,서울특별시,용산구,이태원2동
11170685,60.11,452.29,2021.07,2890.71,2441.73,2137.21,1562.1,1168.55,61.63,468.98,2621.52,3328.56,2429.32,2238.46,1719.46,1545.99,서울특별시,용산구,한남동
11170690,73.89,749.21,953.93,1132.31,1401.71,1578.56,1303.46,958.19,83.43,633.64,959.93,1166.22,1514.3,1587.01,1298.4,1409.82,서울특별시,용산구,서빙고동
11170700,7.0,277.25,455.43,567.78,487.9,598.36,577.86,398.48,22.66,118.99,358.06,445.73,453.08,611.88,694.15,578.48,서울특별시,용산구,보광동
11200520,61.04,379.17,652.5,1008.06,798.89,899.79,819.53,624.4,66.51,420.88,804.07,1083.4,839.14,976.25,910.18,875.63,서울특별시,성동구,왕십리2동
11200535,161.29,910.54,2128.56,2656.74,2440.26,2534.94,2229.66,1583.23,179.22,862.99,2726.65,2950.94,2502.15,2927.29,2338.87,2198.93,서울특별시,성동구,왕십리도선동
11200540,111.31,653.95,2078.17,1901.55,1576.27,2035.75,1905.78,1528.22,166.45,767.2,2040.05,1631.5,1388.35,2024.04,1923.31,2049.29,서울특별시,성동구,마장동
