TT,H_DNG_CD,SPOP,SIDO_NM,SGG_NM,ADMI_NM
0,11110515,13759.6,서울특별시,종로구,청운효자동
0,11110530,12417.37,서울특별시,종로구,사직동
0,11110540,2790.55,서울특별시,종로구,삼청동
0,11110550,10963.81,서울특별시,종로구,부암동
0,11110560,19135.91,서울특별시,종로구,평창동
0,11110570,4774.22,서울특별시,종로구,무악동
0,11110580,10560.69,서울특별시,종로구,교남동
0,11110600,4145.75,서울특별시,종로구,가회동
0,11110615,23666.84,서울특별시,종로구,종로1.2.3.4가동
0,11110630,7562.7,서울특별시,종로구,종로5.6가동
0,11110640,11541.17,서울특별시,종로구,이화동
0,11110650,20218.72,서울특별시,종로구,혜화동
0,11110670,6124.17,서울특별시,종로구,창신1동
0,11110680,6605.3,서울특별시,종로구,창신2동
0,11110690,5353.63,서울특별시,종로구,창신3동
0,11110700,6496.22,서울특별시,종로구,숭인1동
0,11110710,9823.59,서울특별시,종로구,숭인2동
0,11140520,6785.19,서울특별시,중구,소공동
0,11140540,8388.02,서울특별시,중구,회현동
0,11140550,8915.6,서울특별시,중구,명동
0,11140570,6821.76,서울특별시,중구,필동
0,11140580,6378.96,서울특별시,중구,장충동
0,11140590,12159.32,서울특별시,중구,광희동
0,11140605,5876.12,서울특별시,중구,을지로동
0,11140615,15424.8,서울특별시,중구,신당동
0,11140625,13630.2,서울특별시,중구,다산동
0,11140635,16518.89,서울특별시,중구,약수동
0,11140645,6666.69,서울특별시,중구,청구동
0,11140650,10799.8,서울특별시,중구,신당5동
0,11140665,14715.85,서울특별시,중구,동화동
0,11140670,13304.1,서울특별시,중구,황학동
0,11140680,12231.68,서울특별시,중구,중림동
0,11170510,13146.58,서울특별시,용산구,후암동
0,11170520,10518.12,서울특별시,용산구,용산2가동
0,11170530,10318.08,서울특별시,용산구,남영동
0,11170555,22228.05,서울특별시,용산구,청파동
0,11170560,17578.38,서울특별시,용산구,원효로1동
0,11170570,15018.17,서울특별시,용산구,원효로2동
0,11170580,9665.57,서울특별시,용산구,효창동
0,11170590,11356.83,서울특별시,용산구,용문동
0,11170625,30376.26,서울특별시,용산구,한강로동
0,11170630,25822.75,서울특별시,용산구,이촌1동
0,11170640,5392.83,서울특별시,용산구,이촌2동
0,11170650,12048.88,서울특별시,용산구,이태원1동
0,11170660,10205.19,서울특별시,용산구,이태원2동
0,11170685,20028.91,서울특별시,용산구,한남동
0,11170690,14974.32,서울특별시,용산구,서빙고동
0,11170700,6808.53,서울특별시,용산구,보광동
0,11200520,12028.01,서울특별시,성동구,왕십리2동
0,11200535,29949.21,서울특별시,성동구,왕십리도선동
0,11200540,23711.9,서울특별시,성동구,마장동
0,11200550,15170.47,서울특별시,성동구,사근동
0,11200560,16494.22,서울특별시,성동구,행당1동
0,11200570,24097.65,서울특별시,성동구,행당2동
0,11200580,14364.44,서울특별시,성동구,응봉동
0,11200590,15385.74,서울특별시,성동구,금호1가동
0,11200615,24764.69,서울특별시,성동구,금호2.3가동
0,11200620,16368.1,서울특별시,성동구,금호4가동
0,11200645,22758.57,서울특별시,성동구,옥수동
0,11200650,16165.05,서울특별시,성동구,성수1가1동
0,11200660,15473.6,서울특별시,성동구,성수1가2동
0,11200670,16027.15,서울특별시,성동구,성수2가1동
0,11200690,14451.6,서울특별시,성동구,성수2가3동
0,11200720,11694.92,서울특별시,성동구,송정동
0,11200790,15784.42,서울특별시,성동구,용답동
0,11215710,31295.28,서울특별시,광진구,화양동
0,11215730,17312.43,서울특별시,광진구,군자동
0,11215740,16872.32,서울특별시,광진구,중곡1동
0,11215750,20636.99,서울특별시,광진구,중곡2동
0,11215760,16209.15,서울특별시,광진구,중곡3동
0,11215770,32820.79,서울특별시,광진구,중곡4동
0,11215780,12106.42,서울특별시,광진구,능동
0,11215810,38408.72,서울특별시,광진구,광장동
0,11215820,22232.43,서울특별시,광진구,자양1동
0,11215830,27724.35,서울특별시,광진구,자양2동
0,11215840,28466.45,서울특별시,광진구,자양3동
0,11215847,22033.71,서울특별시,광진구,자양4동
0,11215850,22147.34,서울특별시,광진구,구의1동
0,11215860,27668.94,서울특별시,광진구,구의2동
0,11215870,29401.96,서울특별시,광진구,구의3동
0,11230536,40528.36,서울특별시,동대문구,용신동
0,11230545,24454.9,서울특별시,동대문구,제기동
0,11230560,36723.6,서울특별시,동대문구,전농1동
0,11230570,20594.82,서울특별시,동대문구,전농2동
0,11230600,27230.55,서울특별시,동대문구,답십리1동
0,11230610,32345.32,서울특별시,동대문구,답십리2동
0,11230650,33657.35,서울특별시,동대문구,장안1동
0,11230660,34240.0,서울특별시,동대문구,장안2동
0,11230705,21366.12,서울특별시,동대문구,청량리동
0,11230710,13522.72,서울특별시,동대문구,회기동
0,11230720,16139.0,서울특별시,동대문구,휘경1동
